Column1,Column2,Column 3,gram_similarity
"एक पुरुष, महिला, र बच्चा एक समुद्र तट मा रमाइलो गर्दै।",तीन जनाको परिवार सपिङ मलमा छ।,0,0.0
मानिसहरू ट्रेनमा चढ्न वा भर्खरै ओर्लन पर्खिरहेका छन्।,रेलमा चढ्ने मान्छेहरू छन्,1,0.0
मानिसहरू ट्रेनमा चढ्न वा भर्खरै ओर्लन पर्खिरहेका छन्।,ट्रेनमा मान्छेहरू पर्खिरहेका छन्।,1,0.0
एक जोडी समुद्र तटमा सानो केटासँग खेल्दै।,एक जोडी एउटा सानो बच्चासँग बाहिर खेलिरहेका छन्।,1,0.0
एक जोडी समुद्र तटमा सानो केटासँग खेल्दै।,एक जोडी एक सानी केटीलाई समुद्र तटमा एक्लै खेलिरहेको हेर्दै।,0,0.2
एक जोडी आफ्नो जवान छोरासँग ज्वारभाटामा खेल्दै।,परिवार खाना खान बसिरहेको छ।,0,0.0
एक जोडी आफ्नो जवान छोरासँग ज्वारभाटामा खेल्दै।,परिवार बाहिर छ।,1,0.0
एक पुरुष र एक महिला पिज्जा र gyro रेस्टुरेन्ट अगाडि सडक पार गर्दै।,जनता अझै पनि नाकाबन्दीमा उभिरहेका छन् ।,0,0.0
एक पुरुष र एक महिला पिज्जा र gyro रेस्टुरेन्ट अगाडि सडक पार गर्दै।,"एक जोडी रेस्टुरेन्ट नजिक, दुई व्यक्ति सडक पार गर्दै हिंड्छन्।",1,0.16666666666666666
हरियो ज्याकेट र टाउकोमा हुड लगाएकी एउटी महिला उपत्यकातिर हेर्दै।,नारी नाङ्गै छिन् ।,0,0.0
हरियो ज्याकेट र टाउकोमा हुड लगाएकी एउटी महिला उपत्यकातिर हेर्दै।,महिलाले हरियो पहिरन लगाएकी छिन् ।,1,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,उनीहरुले राजधानी बाहिर विरोध प्रदर्शन गरिरहेका छन् ।,0,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,सेतो पहिरनमा एउटी महिला।,1,0.3333333333333333
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,एक व्यक्ति रेस्टुरेन्टको लागि विज्ञापन गर्दै छन्।,1,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिलाले कालो पहिरन लगाएकी छिन् ।,0,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिलाले सेतो लुगा लगाएकी छिन् ।,1,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,ओलम्पिक पौडी।,0,0.0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,जोन्स पिज्जा र जाइरोमा एक मानिस र सोमन सँगै खाइरहेका छन्।,0,0.4
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,तिनीहरू चिन्ह लिएर हिँड्छन्।,1,0.5
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,जोन्स पिज्जा र काखमा जाइरोको चिन्ह लिएर मानिस बसिरहेको छ।,0,0.42857142857142855
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिला र पुरुष बाहिर छन्।,1,0.0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",रातो जर्सी लगाएको व्यक्तिलाई पछ्याउन दुई वयस्कहरू सडकमा दौडन्छन्।,0,0.14285714285714285
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",वयस्कहरू पुरुष र महिला दुवै हुन्।,1,0.0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्क पानीमा पौडी खेल्दै,0,0.25
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्कहरू सडक पार गर्दै।,1,0.6666666666666666
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुईजना साइकल चढेर सुरुङमा पुग्छन्।,0,0.0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुईजना मानिसहरू एक रेस्टुरेन्टबाट सडक पार गर्दै हिंड्छन्।,1,0.2
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",कोही रेल चढ्छन् ।,0,0.0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्क सडकमा हिंड्छन्।,1,0.3333333333333333
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",सडक पार गर्दै दुई वयस्क,1,0.6666666666666666
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",चित्रमा महिला छैनन्।,0,0.0
"सेतो लुगा लगाएकी एउटी महिला र खाँदै, ब्रीफकेस लिएर एक पुरुषको छेउमा हिंड्छिन्।",एक विवाहित जोडी सुतिरहेको छ।,0,0.0
"सेतो लुगा लगाएकी एउटी महिला र खाँदै, ब्रीफकेस लिएर एक पुरुषको छेउमा हिंड्छिन्।",एक महिला पुरुषको छेउमा छ।,1,0.5
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",कसैसँग खाना छैन।,0,0.0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।","एउटी महिला केरा खान्छिन् र सडक पार गरिरहेकी छिन्, र त्यहाँ एक पुरुष उनको पछि लाग्दै छ।",1,0.625
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला र पुरुष सँगै बेसबल खेलिरहेका छन्।,0,0.0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।","एउटी महिला फुटपाथमा आइसक्रिम खाइरहेकी छिन्, र उनको अगाडि पर्स लिएर अर्को महिला छिन्।",0,0.14285714285714285
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",खाने मान्छे ।,1,0.0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",केरा खाँदै एक महिला सडक पार गर्दै,1,0.5
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",एउटी महिला खाजा खान बसिरहेकी छिन्,0,0.25
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला क्याफेमा कफी खाइरहेकी छिन्,0,0.0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",केरा खाइरहेकी महिला।,1,0.0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला बाहिर छिन्,1,0.0
एक स्कीयर धातुको रेलको छेउमा स्लाइड गर्दै।,एक स्कीयर रेलको नजिक छ।,1,0.0
एक स्कीयर धातुको रेलको छेउमा स्लाइड गर्दै।,एक स्कीयर रेलबाट टाढा छ।,0,0.0
रातमा रेलमा स्कीमा एक व्यक्ति।,महिलाले कार खान्छिन्,0,0.0
रातमा रेलमा स्कीमा एक व्यक्ति।,व्यक्ति स्की गर्छ,1,0.0
मेटल बारले बनेको र्‍याम्पको किनारमा बिजुली हरियोमा स्कीयर।,चम्किलो लुगा लगाएको स्कीयर रेसकोर्सबाट तल ओर्लियो।,1,0.0
मेटल बारले बनेको र्‍याम्पको किनारमा बिजुली हरियोमा स्कीयर।,जोगर सडकमा दौडियो।,0,0.0
पहेंलो वर्दी लगाएको स्कीयरले रेल गरिएको वस्तुमा ट्रिक प्रदर्शन गर्दैछ।,एक स्नोबोर्डर स्की लिफ्ट चढ्दै हुनुहुन्छ।,0,0.0
पहेंलो वर्दी लगाएको स्कीयरले रेल गरिएको वस्तुमा ट्रिक प्रदर्शन गर्दैछ।,कोही जाडो खेलकुदमा संलग्न छन्।,1,0.0
एक गोरा मानिस सार्वजनिक फोहराबाट रक्सी पिइरहेको छ।,मानिसले पानी पिइरहेको छ।,1,0.0
एक गोरा मानिस सार्वजनिक फोहराबाट रक्सी पिइरहेको छ।,मानिस कफी पिइरहेको छ।,0,0.0
भिजेको खैरो कुकुर क्यामेरातिर पौडीन्छ।,कुकुर आफ्नो ओछ्यानमा सुतिरहेको छ।,0,0.0
भिजेको खैरो कुकुर क्यामेरातिर पौडीन्छ।,एउटा कुकुर पानीमा छ।,1,0.0
कुकुर पौडी खेलिरहेको क्लोजअप छवि।,एउटा बिरालो अनिच्छुक भएर नुहाउँछ।,0,0.0
कुकुर पौडी खेलिरहेको क्लोजअप छवि।,एउटा कुकुर पानीको शरीरमा पौडी खेलिरहेको छ।,1,0.25
प्यारो खैरो कुकुर समुद्रमा पौडी खेलिरहेको छ।,एउटा कुकुर पौडी खेलिरहेको छ।,1,0.5
प्यारो खैरो कुकुर समुद्रमा पौडी खेलिरहेको छ।,एउटा कुकुर आँगन वरिपरि दौडिरहेको छ।,0,0.0
एउटा ठूलो खैरो कुकुर क्यामेरातिर पौडी खेल्छ।,एउटा कुकुरले लठ्ठीलाई पछ्याइरहेको छ।,0,0.0
एउटा ठूलो खैरो कुकुर क्यामेरातिर पौडी खेल्छ।,एउटा कुकुर क्यामेरातिर पौडी खेल्छ।,1,1.0
"खरानी टोपी लगाएको कालो टोपी लगाएको मान्छे, पिचफोर्क समातेर, घोडा तान्ने गाडीलाई निर्देशन दिँदै।",खैरो टोपी र पिचफोर्क भएको मानिसले कार्टलाई निर्देशन गरिरहेको छ।,1,0.0
"खरानी टोपी लगाएको कालो टोपी लगाएको मान्छे, पिचफोर्क समातेर, घोडा तान्ने गाडीलाई निर्देशन दिँदै।",नीलो लुगा लगाएकी महिलाले घोडालाई कार्टमा समातिरहेकी छिन्।,0,0.0
"एक मानिस पुरानो देश भित्र, घाँसको सडक माथि क्लाइड्सडेलको नेतृत्व गर्दैछ।",एक जना मानिस आफ्नो घोडा लिएर देशको बाटोमा हिंड्दै छ।,1,0.0
"एक मानिस पुरानो देश भित्र, घाँसको सडक माथि क्लाइड्सडेलको नेतृत्व गर्दैछ।",खैरो व्यापार सूटमा एउटी महिला चिया पिउदै छिन्।,0,0.0
एक किसान घोडा र गाडीको साथ मलले आफ्नो बगैंचामा मल दिँदै।,मानिसले आफ्नो बगैंचामा मल दिइरहेको छ।,1,0.0
एक किसान घोडा र गाडीको साथ मलले आफ्नो बगैंचामा मल दिँदै।,त्यो मानिस आफ्नो घोडा र गाडी लिएर सहरको सडकमा छ।,0,0.0
एउटा सेतो घोडाले गाडा तानेको छ भने एक जना मानिस उभिएर हेरिरहेको छ।,एउटा जनावर बाहिर हिँडिरहेको छ।,1,0.0
एउटा सेतो घोडाले गाडा तानेको छ भने एक जना मानिस उभिएर हेरिरहेको छ।,एकजना मानिस घोडा दौड हेर्दै छन्।,0,0.0
चर्च जानेहरूको सानो समूहले गाउने अभ्यास हेर्छ।,एउटा समूह अभ्यास हेर्छ।,1,0.5
चर्च जानेहरूको सानो समूहले गाउने अभ्यास हेर्छ।,एक गायकले खचाखच भरिएको भीडको अगाडि प्रदर्शन गर्दछ।,0,0.0
एउटा कुकुर समुद्र तटमा रातो डिस्क छोड्छ।,एउटा कुकुर समुद्र तटमा बल समात्छ,0,0.5
एउटा कुकुर समुद्र तटमा रातो डिस्क छोड्छ।,एउटा कुकुर रातो डिस्क छोड्छ,1,0.6666666666666666
एक पुरुष र एक महिला पहाडको टुप्पोमा सडकमा हिंडिरहेका छन्।,एक पुरुष र महिला सडकमा हिंड्दै।,1,0.3333333333333333
एक पुरुष र एक महिला पहाडको टुप्पोमा सडकमा हिंडिरहेका छन्।,दुई जना मानिस पहाडमा क्याच खेल्दै छन्।,0,0.0
एक वृद्ध मानिस क्याफेमा सुन्तलाको जुस पिइरहेका छन्।,एक वृद्ध मानिस बारमा स्याउको जुस पिइरहेका छन्।,0,0.5
एक वृद्ध मानिस क्याफेमा सुन्तलाको जुस पिइरहेका छन्।,एक वृद्ध मानिस क्याफेमा पेय पदार्थको मजा लिइरहेको छ।,1,0.4
एक जोडी हात समातेर सडकमा हिंडिरहेको छ।,बाटोको छेउमा मानिसहरु बसिरहेका छन् ।,0,0.0
एक जोडी हात समातेर सडकमा हिंडिरहेको छ।,मानिसहरू हात समातेर हिँडिरहेका छन्।,1,0.3333333333333333
एक जोडी सेतो ईंटको शहरमा हिंड्दै।,मानिसहरु बाहिर हिँडिरहेका छन् ।,1,0.0
एक जोडी सेतो ईंटको शहरमा हिंड्दै।,एक पुरुष र महिला खैरो ईंट शहरमा हिंड्दै।,0,0.5
केटाकेटीहरू विद्यालयबाट घर जाँदैछन्।,बच्चाहरू पुस्तकालयमा छन्।,0,0.0
केटाकेटीहरू विद्यालयबाट घर जाँदैछन्।,विद्यालयका बालबालिका घर जान्छन् ।,1,0.0
क्याथोलिक गिर्जाघरमा गाउने गीत सुनिरहेका मानिसहरू।,मानिसहरू मेटल ब्यान्ड सुनिरहेका छन्।,0,0.0
क्याथोलिक गिर्जाघरमा गाउने गीत सुनिरहेका मानिसहरू।,सामूहिक रूपमा गायन गायन।,1,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,एक साइकल चालक मलमा खाजा खान बसिरहेको छ।,0,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू बाहिर छन्।,1,1.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकलहरू सडकमा छन्।,1,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,मोटरसाइकलमा सवार एक व्यक्ति सडक नजिकै छ।,1,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,बाइकरहरू चोकमा रोकिन्छन् र ट्राफिकको लागि पर्खिरहेका छन्।,1,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू आफ्नो बाइकमा मलको माध्यमबाट सवारी गर्छन्।,0,0.3333333333333333
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू आफ्नो पालो पार गर्न पर्खिरहेका छन्।,1,0.3333333333333333
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू फ्रीवेमा सवार।,0,0.3333333333333333
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल चालकको मृत्यु भएको छ ।,0,0.0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू घरमै छन्।,0,1.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,साथीहरूको समूह डुङ्गामा छन्,0,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,मोटरसाइकल भएका मानिसहरू।,1,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,मानिसहरु भित्र पर्खिरहेका छन् ।,0,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,बाहिर केही मान्छे छन् ।,1,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,मानिसहरु आफ्नो बाइकमा छन् ।,1,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,मानिसहरु बाइकमा छन् ।,1,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,जनता रातो बत्ती बालिरहेका छन् ।,0,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,कार दौडमा मानिसहरू।,0,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,पुरुष र महिला बाहिर सडकको कुनामा।,1,0.0
मान्छेहरू बाइकमा बत्तिको पर्खाइमा।,एउटा लेडीबग सुन्दर गुलाबी गुलाबमा अवतरण भएको छ।,0,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरू स्केटबोर्डमा छन्।,0,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु आफ्नो साइकल चलाउँछन्।,1,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु ट्राफिक पर्खिरहेका छन्।,1,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु पैदल पर्खिरहेका छन् ।,0,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,बाटोमा साइकल यात्री रोकिएका छन्।,1,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,जनता सुतिरहेका छन् ।,0,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,चलचित्रको प्रदर्शनीलाई जनता कुरिरहेका छन् ।,0,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा एकभन्दा बढी व्यक्तिले ट्राफिक नियम पालना गरिरहेका छन् ।,1,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा मान्छेहरू छन्।,1,0.0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा सवार व्यक्तिहरू एक चौराहेबाट गति गर्छन्।,0,0.25
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,कार्ट खाली छ।,0,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,एउटा मानिसले अर्को मानिसलाई पिग्गीब्याक सवारी दिँदै छ।,0,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको गाडाको माथि उभिरहेको छ।,एउटा कार्ट वस्तुहरूले भरिएको छ।,1,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,एउटा मानिस बेन्चमुनि सुतिरहेको छ।,0,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,एक मानिसले अर्को मानिसलाई हेर्छ।,1,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,"कोही वस्तुहरूले भरिएको कार्टको शीर्षमा छन्, कोहीले अवलोकन गर्दछ।",1,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको गाडाको माथि उभिरहेको छ।,पुरुषले एउटी महिलालाई हेरिरहेको छ।,0,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको गाडाको माथि उभिरहेको छ।,एउटा मान्छे गाडिको माथि उभिरहेको छ।,1,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथिको जोडिएको कार्टको माथि उभिरहेको छ।,कार्ट शीर्षमा भरिएको छ।,1,0.0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको गाडाको माथि उभिरहेको छ।,एक मानिसले अक्टोपस खान्छ।,0,0.0
एउटी केटा पानीको फोहोराबाट पानी पिउदै महिला जस्तो आकारको।,एक पुरुषले पानी पिउदैछ।,1,0.5
एउटी केटा पानीको फोहोराबाट पानी पिउदै महिला जस्तो आकारको।,एउटा मानिस गिलासबाट कागती पानी पिइरहेको छ।,0,0.0
सहरमा तीन बाइकर रोक्छन्।,सहरमा मोटरसाइकल रोकिन्छन्,1,0.0
